Niv.;Pts;50 m;50 m (i);60 m (i);100 m;200 m (i);200 m;400 m (i);400 m;800 m (i);800 m;1 000 m (i);1 000 m;1 500 m (i);1 500 m;Mile;Mile (i);3 000 m;5 000 m;5 km;10 000 m;10 km;15 km;20 000 m;20 km;Semi-marathon;Marathon;100 km;30 Minutes;Heure;24 Heures;50 m Haies (76) (i);50 m Haies (84) (i);60 m Haies (76) (i);60 m Haies (84) (i);100 m Haies (76);100 m Haies (84);320 m Haies (76);400 m Haies (76);2 000 m Steeple (76);3 000 m Steeple (76);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (3 kg) (i);Poids (3 kg);Poids (4 kg) (i);Poids (4 kg);Disque (1 kg);Marteau (3 kg);Marteau (4 kg);Javelot (600 g);Tétrathlon (i);Pentathlon (i) Cadets;Pentathlon Longueur (i);Pentathlon (i);Héptathlon (i) Cadets;Héptathlon (i);Décathlon;3 000 m Marche;5 000 m Marche;30 Minutes Marche;10 000 m Marche;10 km Marche;Heure Marche;20 000 m Marche;20 km Marche;50 000 m Marche;50 km Marche;Grand Fond Marche
IA;40;6,24;6,24;7,24;11,14;22,74;22,74;51,24;51,24;0,001387037;0,001387037;0,001802083;0,001802083;0,002847222;0,002847222;0,00306713;0,00306713;0,006168981;0,010532407;0,010532407;0,02199537;0,02199537;0,034722222;0,046296296;0,046296296;0,048611111;0,103472222;0,336805556;-;18,1;220;-;6,88;-;7,99;-;12,84;-;0,000646296;-;0,006597222;1,92;1,92;4,5;4,5;6,7;6,7;14,3;14,3;-;-;18;18;60;-;70;59;-;-;4500;4500;-;6200;8200;0,008541667;0,014756944;-;0,03125;0,03125;-;0,063888889;0,063888889;0,18125;0,18125;-
IB;35;6,34;6,34;7,34;11,34;23,14;23,14;52,04;52,04;0,001410185;0,001410185;0,001834491;0,001834491;0,002905093;0,002905093;0,003125;0,003125;0,00630787;0,010763889;0,010763889;0,022689815;0,022689815;0,035243056;0,047511574;0,047511574;0,05;0,105555556;0,350694444;-;17,6;210;-;7,11;-;8,22;-;13,24;-;0,00065787;0,004340278;0,006712963;1,86;1,86;4,3;4,3;6,5;6,5;14;14;-;-;17;17;57;-;67;56;-;-;4300;4300;-;5900;7700;0,008854167;0,015625;-;0,032638889;0,032638889;-;0,06875;0,06875;0,188888889;0,188888889;-
N1;30;6,54;6,54;7,44;11,54;23,74;23,74;53,44;53,44;0,001458333;0,001458333;0,001875;0,001875;0,003020833;0,003020833;0,003252315;0,003252315;0,006481481;0,011458333;0,011458333;0,023611111;0,023611111;0,036458333;0,049305556;0,049305556;0,051736111;0,111111111;0,364583333;8900;17;205;7,34;7,44;8,44;8,54;13,34;13,64;43,84;0,000683333;0,004513889;0,006944444;1,8;1,8;4,2;4,2;6,3;6,3;13,2;13,2;16,5;16,5;15;15;50;60;60;50;3300;3950;3800;3800;5550;5400;7000;0,009953704;0,016898148;6100;0,035416667;0,035416667;11,7;0,073611111;0,073611111;0,196527778;0,196527778;180
N2;28;6,64;6,64;7,64;11,84;24,24;24,24;54,74;54,74;0,00150463;0,00150463;0,001921296;0,001921296;0,003101852;0,003101852;0,003333333;0,003333333;0,006655093;0,011805556;0,011805556;0,024305556;0,024305556;0,0375;0,051041667;0,051041667;0,053472222;0,116666667;0,375;8650;16,5;200;7,54;7,64;8,64;8,74;13,74;14,04;45,24;0,000711111;0,0046875;0,007175926;1,76;1,76;3,9;3,9;6;6;12,6;12,6;15,5;15,5;14;14;46;58;56;46;3100;3650;3500;3500;5150;5000;6500;0,010300926;0,017361111;6000;0,036458333;0,036458333;11,4;0,075;0,075;0,203472222;0,203472222;174
N3;26;6,74;6,74;7,84;12,04;24,74;24,74;56,04;56,04;0,001539352;0,001539352;0,001967593;0,001967593;0,00318287;0,00318287;0,003425926;0,003425926;0,006828704;0,012037037;0,012037037;0,025;0,025;0,038541667;0,052777778;0,052777778;0,055208333;0,122222222;0,385416667;8400;16;195;7,74;7,84;8,84;8,94;14,14;14,44;47,24;0,000734259;0,004803241;0,007407407;1,72;1,72;3,6;3,6;5,8;5,8;12;12;14,5;14,5;13;13;43;56;53;43;2900;3400;3250;3250;4850;4700;6000;0,010532407;0,018055556;5750;0,0375;0,0375;11,1;0,076388889;0,076388889;0,211111111;0,211111111;168
N4;24;6,84;6,84;7,94;12,24;25,24;25,24;57,64;57,64;0,001585648;0,001585648;0,002013889;0,002013889;0,003252315;0,003252315;0,00349537;0,00349537;0,007002315;0,012268519;0,012268519;0,025694444;0,025694444;0,039583333;0,054166667;0,054166667;0,056944444;0,127777778;0,395833333;8200;15,5;190;7,84;8,04;9,04;9,24;14,54;14,84;49,24;0,000757407;0,004918981;0,007523148;1,68;1,68;3,4;3,4;5,6;5,6;11,5;11,5;13,5;13,5;12;12;41;54;50;40;2700;3150;3000;3000;4550;4400;5500;0,01087963;0,018576389;5600;0,038888889;0,038888889;10,7;0,079861111;0,079861111;0,218055556;0,218055556;163
IR1;21;6,94;6,94;8,04;12,44;25,74;25,74;59,14;59,14;0,00162037;0,00162037;0,002060185;0,002060185;0,003321759;0,003321759;0,003576389;0,003576389;0,007175926;0,0125;0,0125;0,026388889;0,026388889;0,040625;0,055902778;0,055902778;0,058680556;0,133333333;0,40625;8000;15;185;8,04;8,24;9,24;9,44;14,94;15,24;50,24;0,000775926;0,005034722;0,007638889;1,63;1,63;3,2;3,2;5,45;5,45;11,2;11,2;13;13;11,5;11,5;38;42;47;38;2500;3000;2850;2850;4250;4100;5100;0,011111111;0,019097222;5450;0,040277778;0,040277778;10,3;0,083333333;0,083333333;0,225694444;0,225694444;161
IR2;20;7,02;7,02;8,14;12,64;26,24;26,24;60,74;60,74;0,001649306;0,001649306;0,002094907;0,002094907;0,003414352;0,003414352;0,003668981;0,003668981;0,007407407;0,012731481;0,012731481;0,027083333;0,027083333;0,041666667;0,057291667;0,057291667;0,060069444;0,1375;0,416666667;7850;14,6;180;8,24;8,44;9,44;9,64;15,34;15,64;51,24;0,000795602;0,005150463;0,0078125;1,6;1,6;3,1;3,1;5,3;5,3;11;11;12,7;12,7;11,2;11,2;36;50;45;36;2350;2850;2700;2700;3950;3800;4800;0,011458333;0,019618056;5300;0,041666667;0,041666667;10;0,084722222;0,084722222;0,23125;0,23125;158
IR3;19;7,08;7,08;8,24;12,84;26,74;26,74;61,74;61,74;0,001678241;0,001678241;0,00212963;0,00212963;0,003472222;0,003472222;0,003738426;0,003738426;0,007523148;0,012962963;0,012962963;0,027777778;0,027777778;0,042708333;0,058333333;0,058333333;0,061458333;0,141666667;0,427083333;7700;14,3;175;8,44;8,64;9,64;9,84;15,74;16,04;52,24;0,000812963;0,005266204;0,007986111;1,57;1,57;3;3;5,2;5,2;10,8;10,8;12,2;12,2;10,8;10,8;35;48;43;35;2200;2750;2600;2600;3750;3600;4500;0,011805556;0,020138889;5150;0,042361111;0,042361111;9,8;0,086111111;0,086111111;0,236111111;0,236111111;156
IR4;18;7,14;7,14;8,34;13,04;27,24;27,24;62,74;62,74;0,001712963;0,001712963;0,002175926;0,002175926;0,003530093;0,003530093;0,003796296;0,003796296;0,007638889;0,013194444;0,013194444;0,028472222;0,028472222;0,04375;0,060069444;0,060069444;0,062847222;0,147222222;0,4375;7550;14;170;8,64;8,84;9,84;10,04;16,14;16,44;53,24;0,000824537;0,005381944;0,008159722;1,54;1,54;2,9;2,9;5,1;5,1;10,6;10,6;11,8;11,8;10,4;10,4;34;46;41;34;2100;2650;2500;2500;3550;3400;4250;0,012037037;0,020486111;5050;0,043055556;0,043055556;9,6;0,0875;0,0875;0,240972222;0,240972222;154
