Niv.;Pts;50 m;50 m (i);60 m (i);100 m;200 m (i);200 m;400 m (i);400 m;800 m (i);800 m;1 000 m (i);1 000 m;1 500 m;Mile;Mile (i);3 000 m;5 000 m;5 km;10 000 m;10 km;15 km;20 000 m;20 km;Semi-marathon;Marathon;100 km;30 Minutes;Heure;24 Heures;50 m Haies (91) (i);50 m Haies (99) (i);50 m Haies (1.06) (i);60 m Haies (91) (i);60 m Haies (99) (i);60 m Haies (1.06) (i);110 m Haies (91);110 m Haies (99);110 m Haies (1.06);320 m Haies (91);400 m Haies (91);2 000 m Steeple (91);3 000 m Steeple (91);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (5 kg) (i);Poids (5 kg);Poids (6 kg) (i);Poids (6 kg);Poids (7.26 kg) (i);Poids (7.26 kg);Disque (1.5 kg);Disque (1.75 kg);Disque (2 kg);Marteau (5 kg);Marteau (6 kg);Marteau (7.26 kg);Javelot (700 g);Javelot (800 g);Tétrathlon Longueur (i);Pentathlon (i) Cadets;Pentathlon (i) Juniors_Masters;Pentathlon Longueur (i);Pentathlon (i);Héptathlon (i) Cadets;Héptathlon (i) Juniors_Masters;Héptathlon (i);Décathlon Cadets;Décathlon Juniors_Masters;Décathlon;3 000 m Marche;5 000 m Marche;30 Minutes Marche;10 000 m Marche;10 km Marche;Heure Marche;20 000 m Marche;20 km Marche;50 000 m Marche;50 km Marche;100 km Marche;Grand Fond Marche
IA;40;5,66;5,66;6,56;10,1;20,44;20,44;45,24;45,24;0,001221528;0,001221528;0,001574074;0,001574074;0,002476852;0,002673611;0,002673611;0,00537037;0,009143519;0,009143519;0,019328704;0,019328704;0,030208333;0,040625;0,040625;0,042708333;0,090277778;0,274305556;-;20,55;250;-;-;6,43;-;-;7,57;-;-;13,44;-;49,44;-;0,005787037;2,28;2,28;5,65;5,65;8,15;8,15;17,1;17,1;-;-;-;-;20,2;20,2;-;-;64;-;-;77;-;81;-;-;-;4260;4260;-;-;6080;-;-;7900;-;0,013078704;-;0,027777778;0,027777778;15300;0,057291667;0,057291667;0,160416667;0,160416667;-;-
IB;35;5,76;5,76;6,66;10,2;20,64;20,64;45,84;45,84;0,001233102;0,001233102;0,001591435;0,001591435;0,002511574;0,002708333;0,002708333;0,005439815;0,00931713;0,00931713;0,019618056;0,019618056;0,030555556;0,041145833;0,041145833;0,043229167;0,092013889;0,286805556;-;20,3;240;-;6,54;6,62;-;7,64;7,76;-;13,44;13,64;-;50,14;-;0,005902778;2,23;2,23;5,5;5,5;8;8;16,8;16,8;19,5;19,5;19,5;19,5;19,2;19,2;63;62;61;75;75;74;75;77;-;-;-;4050;4050;-;-;5770;-;-;7700;-;0,013541667;-;0,029166667;0,029166667;14900;0,058680556;0,058680556;0,168055556;0,168055556;-;-
N1;30;5,84;5,84;6,74;10,34;20,94;20,94;46,64;46,64;0,00125;0,00125;0,001608796;0,001608796;0,002569444;0,002766204;0,002766204;0,005555556;0,009548611;0,009548611;0,020138889;0,020138889;0,030902778;0,042361111;0,042361111;0,044444444;0,09375;0,298611111;10400;20;230;6,54;6,64;6,74;7,64;7,84;7,94;13,34;13,64;13,84;39,24;51,24;0,003935185;0,006076389;2,16;2,16;5,4;5,4;7,75;7,75;16,5;16,5;19;19;18;18;17;17;59;57;55;73;71;66;73;71;3300;4000;3900;3800;3800;5500;5400;5300;7800;7600;7400;0,008333333;0,01412037;7250;0,030555556;0,030555556;13600;0,061111111;0,061111111;0,175;0,175;0,40625;200
N2;28;5,94;5,94;6,84;10,64;21,44;21,44;47,64;47,64;0,001273148;0,001273148;0,001637731;0,001637731;0,002615741;0,0028125;0,0028125;0,005671296;0,009722222;0,009722222;0,020659722;0,020659722;0,031712963;0,043229167;0,043229167;0,045486111;0,097222222;0,309027778;10150;19,6;225;6,74;6,84;6,94;7,84;8,04;8,14;13,64;13,94;14,24;40,04;52,74;0,004050926;0,00625;2,1;2,1;5,2;5,2;7,4;7,4;15,75;15,75;18;18;17;17;16;16;56;54;52;71;66;61;71;68;3100;3800;3700;3600;3600;5300;5200;5100;7400;7200;7000;0,008680556;0,014930556;7000;0,031944444;0,031944444;13000;0,065972222;0,065972222;0,181944444;0,181944444;0,416666667;197
N3;26;6,04;6,04;6,94;10,84;21,84;21,84;48,64;48,64;0,001296296;0,001296296;0,001666667;0,001666667;0,002662037;0,00287037;0,00287037;0,005787037;0,009953704;0,009953704;0,021180556;0,021180556;0,032523148;0,044097222;0,044097222;0,046527778;0,1;0,319444444;9900;19,2;220;6,94;7,04;7,14;7,94;8,14;8,34;13,94;14,34;14,74;40,84;54,04;0,004166667;0,006423611;2,06;2,06;5;5;7,2;7,2;15;15;17;17;16;16;15;15;53;51;49;68;63;58;68;64;2900;3600;3500;3400;3400;5000;4900;4800;7000;6800;6600;0,009027778;0,015625;6700;0,033333333;0,033333333;12400;0,068055556;0,068055556;0,188888889;0,188888889;0,423611111;194
N4;24;6,14;6,14;7,14;10,94;22,24;22,24;49,64;49,64;0,001319444;0,001319444;0,001695602;0,001695602;0,002708333;0,002916667;0,002916667;0,005902778;0,010185185;0,010185185;0,021701389;0,021701389;0,033333333;0,045138889;0,045138889;0,047569444;0,102777778;0,329861111;9700;18,8;215;7,14;7,24;7,34;8,14;8,34;8,54;14,34;14,74;15,14;41,44;55,24;0,004282407;0,006597222;2,01;2,01;4,8;4,8;7;7;14,5;14,5;16,4;16,4;15,4;15,4;14,4;14,4;50;48;46;66;61;56;64;61;2700;3450;3350;3250;3250;4800;4700;4600;6700;6500;6300;0,009490741;0,015972222;6400;0,034027778;0,034027778;12200;0,069444444;0,069444444;0,195833333;0,195833333;0,430555556;192
IR1;21;6,24;6,24;7,24;11,14;22,54;22,54;50,44;50,44;0,001354167;0,001354167;0,001736111;0,001736111;0,002766204;0,002986111;0,002986111;0,006018519;0,010416667;0,010416667;0,022222222;0,022222222;0,034143519;0,046527778;0,046527778;0,048958333;0,105555556;0,340277778;9500;18,4;210;7,34;7,44;7,54;8,34;8,54;8,74;14,94;15,14;15,54;42,04;56,24;0,004351852;0,006712963;1,95;1,95;4,6;4,6;6,8;6,8;14,1;14,1;15,8;15,8;14,8;14,8;13,8;13,8;47;45;43;61;56;51;60;57;2500;3300;3200;3100;3100;4600;4500;4400;6400;6200;6000;0,009953704;0,016319444;6100;0,034722222;0,034722222;12100;0,070833333;0,070833333;0,202777778;0,202777778;0,4375;190
IR2;20;6,3;6,3;7,34;11,34;22,84;22,84;51,44;51,44;0,001377315;0,001377315;0,001765046;0,001765046;0,002824074;0,003043981;0,003043981;0,006134259;0,010648148;0,010648148;0,022743056;0,022743056;0,034953704;0,047569444;0,047569444;0,050347222;0,108333333;0,350694444;9325;18;205;7,54;7,64;7,74;8,54;8,74;8,94;15,24;15,54;15,84;42,64;57,24;0,004421296;0,006828704;1,92;1,92;4,4;4,4;6,6;6,6;13,8;13,8;15,4;15,4;14,4;14,4;13,4;13,4;45;43;41;59;54;49;57;54;2350;3200;3100;3000;3000;4400;4300;4200;6200;6000;5800;0,010069444;0,016782407;6000;0,035416667;0,035416667;11700;0,072222222;0,072222222;0,208333333;0,208333333;0,444444444;187
IR3;19;6,37;6,37;7,44;11,44;23,14;23,14;52,44;52,44;0,001400463;0,001400463;0,001793981;0,001793981;0,002881944;0,003113426;0,003113426;0,00625;0,01087963;0,01087963;0,023263889;0,023263889;0,035763889;0,048611111;0,048611111;0,051388889;0,111111111;0,361111111;9150;17,6;200;7,74;7,84;8,04;8,74;8,94;9,14;15,54;15,84;16,14;43,24;58,24;0,004490741;0,006944444;1,89;1,89;4,3;4,3;6,4;6,4;13,5;13,5;15;15;14;14;13;13;43;41;39;57;52;47;54;51;2200;3100;3000;2900;2900;4250;4150;4050;6000;5800;5600;0,010185185;0,01724537;5900;0,036111111;0,036111111;11500;0,073611111;0,073611111;0,213194444;0,213194444;0,451388889;185
IR4;18;6,44;6,44;7,54;11,54;23,44;23,44;53,44;53,44;0,001423611;0,001423611;0,001828704;0,001828704;0,002939815;0,003171296;0,003171296;0,006365741;0,011111111;0,011111111;0,023784722;0,023784722;0,036574074;0,049652778;0,049652778;0,052430556;0,113888889;0,368055556;8975;17,2;195;7,94;8,04;8,24;8,94;9,14;9,44;15,84;16,14;16,54;44,24;59,24;0,004571759;0,007060185;1,85;1,85;4,2;4,2;6,3;6,3;13,2;13,2;14,5;14,5;13,5;13,5;12,5;12,5;42;40;38;54;50;45;52;49;2100;3000;2900;2800;2800;4150;4050;3950;5800;5600;5400;0,010416667;0,017592593;5800;0,036805556;0,036805556;11300;0,075;0,075;0,218055556;0,218055556;0,458333333;182
