Points;50 m;50 m (i);1 000 m (i);1 000 m;50 m Haies (65) (i);50 m Haies (65);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (2 kg) (i);Poids (2 kg);Disque (600 g);Marteau (2 kg);Javelot (400 g);2 000 m Marche (i);2 000 m Marche;4 × 60 m;4 × 60 m Mixte
50;6,48;6,48;0,002074537;0,002074537;7,55;7,55;1,73;1,73;3,3;3,3;5,67;5,67;11,71;11,71;15,5;15,5;45,59;59,42;46,68;0,006803125;0,006803125;29,75;30,5
49;6,56;6,56;0,002095718;0,002095718;7,62;7,62;1,69;1,69;3,2;3,2;5,54;5,54;11,52;11,52;14,84;14,84;42,84;56,58;43,63;0,007034375;0,007034375;30,2;30,63
48;6,64;6,64;0,002109838;0,002109838;7,69;7,69;1,65;1,65;3,1;3,1;5,42;5,42;11,33;11,33;14,19;14,19;40,09;53,74;40,59;0,007264352;0,007264352;30,65;30,76
47;6,72;6,72;0,002137963;0,002137963;7,77;7,77;1,61;1,61;3;3;5,3;5,3;11,14;11,14;13,53;13,53;37,34;50,9;37,55;0,007494329;0,007494329;31,1;30,9
46;6,8;6,8;0,002159144;0,002159144;7,84;7,84;1,57;1,57;2,9;2,9;5,18;5,18;10,95;10,95;12,88;12,88;34,59;48,06;34,51;0,007724306;0,007724306;31,55;31,03
45;6,89;6,89;0,002180324;0,002180324;7,92;7,92;1,53;1,53;2,81;2,81;5,06;5,06;10,76;10,76;12,23;12,23;31,84;45,22;31,47;0,007954282;0,007954282;32;31,17
44;6,97;6,97;0,002211458;0,002211458;8,05;8,05;1,5;1,5;2,75;2,75;4,96;4,96;10,59;10,59;11,84;11,84;30,77;43,62;30,26;0,008048148;0,008048148;32,16;31,28
43;7,05;7,05;0,002242708;0,002242708;8,19;8,19;1,48;1,48;2,7;2,7;4,86;4,86;10,42;10,42;11,46;11,46;29,7;42,02;29,06;0,008142014;0,008142014;32,32;31,39
42;7,13;7,13;0,002273843;0,002273843;8,33;8,33;1,46;1,46;2,64;2,64;4,76;4,76;10,25;10,25;11,07;11,07;28,64;40,42;27,86;0,008235764;0,008235764;32,48;31,5
41;7,21;7,21;0,002304977;0,002304977;8,47;8,47;1,44;1,44;2,59;2,59;4,66;4,66;10,08;10,08;10,69;10,69;27,57;38,82;26,65;0,00832963;0,00832963;32,64;31,61
40;7,29;7,29;0,002336227;0,002336227;8,61;8,61;1,42;1,42;2,54;2,54;4,56;4,56;9,92;9,92;10,3;10,3;26,51;37,23;25,45;0,008423495;0,008423495;32,8;31,72
39;7,37;7,37;0,002367361;0,002367361;8,74;8,74;1,39;1,39;2,48;2,48;4,46;4,46;9,75;9,75;9,92;9,92;25,44;35,63;24,25;0,008513773;0,008513773;32,96;31,83
38;7,45;7,45;0,002398495;0,002398495;8,88;8,88;1,37;1,37;2,43;2,43;4,36;4,36;9,58;9,58;9,53;9,53;24,38;34,03;23,05;0,008611227;0,008611227;33,12;31,94
37;7,53;7,53;0,002429745;0,002429745;9,02;9,02;1,35;1,35;2,37;2,37;4,26;4,26;9,41;9,41;9,15;9,15;23,31;32,43;21,84;0,008704977;0,008704977;33,29;32,06
36;7,61;7,61;0,00246088;0,00246088;9,16;9,16;1,33;1,33;2,32;2,32;4,16;4,16;9,24;9,24;8,76;8,76;22,25;30,83;20,64;0,008798843;0,008798843;33,45;32,17
35;7,69;7,69;0,002492014;0,002492014;9,3;9,3;1,31;1,31;2,27;2,27;4,06;4,06;9,08;9,08;8,38;8,38;21,18;29,24;19,44;0,008892708;0,008892708;33,61;32,28
34;7,77;7,77;0,002523264;0,002523264;9,43;9,43;1,28;1,28;2,21;2,21;3,96;3,96;8,91;8,91;7,99;7,99;20,12;27,64;18,24;0,008986574;0,008986574;33,77;32,39
33;7,85;7,85;0,002547106;0,002547106;9,57;9,57;1,26;1,26;2,16;2,16;3,86;3,86;8,74;8,74;7,61;7,61;19,05;26,04;17,03;0,00908044;0,00908044;33,93;32,5
32;7,93;7,93;0,002585532;0,002585532;9,71;9,71;1,24;1,24;2,1;2,1;3,76;3,76;8,57;8,57;7,22;7,22;17,99;24,44;15,83;0,00917419;0,00917419;34,09;32,61
31;8,01;8,01;0,002616782;0,002616782;9,85;9,85;1,22;1,22;2,05;2,05;3,66;3,66;8,4;8,4;6,84;6,84;16,92;22,84;14,63;0,009268056;0,009268056;34,25;32,72
30;8,1;8,1;0,002647917;0,002647917;9,99;9,99;1,2;1,2;2;2;3,57;3,57;8,24;8,24;6,46;6,46;15,86;21,25;13,43;0,009361921;0,009361921;34,42;32,84
29;8,12;8,12;0,00266169;0,00266169;10,04;10,04;1,19;1,19;1,98;1,98;3,54;3,54;8,19;8,19;6,4;6,4;15,66;20,95;13,23;0,009403241;0,009403241;34,48;32,95
28;8,15;8,15;0,002669213;0,002669213;10,1;10,1;-;-;1,96;1,96;3,52;3,52;8,14;8,14;6,34;6,34;15,46;20,66;13,04;0,009448611;0,009448611;34,55;33,06
27;8,17;8,17;0,002679861;0,002679861;10,15;10,15;1,18;1,18;1,94;1,94;3,5;3,5;8,09;8,09;6,28;6,28;15,27;20,37;12,85;0,009485764;0,009485764;34,62;33,17
26;8,2;8,2;0,002690509;0,002690509;10,21;10,21;-;-;1,92;1,92;3,47;3,47;8,04;8,04;6,22;6,22;15,07;20,08;12,65;0,009527083;0,009527083;34,69;33,28
