Points;50 m;50 m (i);1 000 m (i);1 000 m;50 m Haies (65) (i);50 m Haies (65);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (3 kg) (i);Poids (3 kg);Disque (1 kg);Marteau (3 kg);Javelot (500 g);2 000 m Marche (i);2 000 m Marche;4 × 60 m;4 × 60 m Mixte
1;20;20;0,004166667;0,004166667;20;20;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,013888889;0,013888889;60;60
1;11,66;11,66;0,003883912;0,003883912;16,63;16,63;0,85;0,85;1,2;1,2;1,65;1,65;5,44;5,44;2,77;2,77;6,11;6,48;4,52;0,01189537;0,01189537;39,33;50
2;11,43;11,43;0,003797106;0,003797106;16,2;16,2;0,87;0,87;1,23;1,23;1,76;1,76;5,6;5,6;2,95;2,95;6,54;6,9;5,14;0,01175625;0,01175625;39,05;49,15
3;11,2;11,2;0,003710185;0,003710185;15,77;15,77;0,89;0,89;1,27;1,27;1,88;1,88;5,77;5,77;3,13;3,13;6,98;7,32;5,77;0,011619097;0,011619097;38,78;48,31
4;10,97;10,97;0,00362338;0,00362338;15,34;15,34;0,91;0,91;1,31;1,31;2;2;5,93;5,93;3,31;3,31;7,42;7,74;6,4;0,011481829;0,011481829;38,51;47,46
5;10,74;10,74;0,003536574;0,003536574;14,91;14,91;0,93;0,93;1,35;1,35;2,12;2,12;6,1;6,1;3,49;3,49;7,86;8,17;7,03;0,011344676;0,011344676;38,24;46,62
6;10,51;10,51;0,003449769;0,003449769;14,48;14,48;0,95;0,95;1,39;1,39;2,24;2,24;6,26;6,26;3,67;3,67;8,29;8,59;7,66;0,011207407;0,011207407;37,97;45,77
7;10,28;10,28;0,003362847;0,003362847;14,05;14,05;0,97;0,97;1,43;1,43;2,36;2,36;6,43;6,43;3,85;3,85;8,73;9,01;8,29;0,011070255;0,011070255;37,7;44,93
8;10,05;10,05;0,003276042;0,003276042;13,63;13,63;0,99;0,99;1,47;1,47;2,48;2,48;6,59;6,59;4,04;4,04;9,17;9,44;8,92;0,010932986;0,010932986;37,43;44,08
9;9,82;9,82;0,003189236;0,003189236;13,2;13,2;1,01;1,01;1,51;1,51;2,6;2,6;6,76;6,76;4,22;4,22;9,61;9,86;9,55;0,010795718;0,010795718;37,16;43,24
10;9,59;9,59;0,003102315;0,003102315;12,77;12,77;1,03;1,03;1,55;1,55;2,72;2,72;6,92;6,92;4,4;4,4;10,05;10,28;10,18;0,01064919;0,01064919;36,89;42,39
11;9,36;9,36;0,003015509;0,003015509;12,34;12,34;1,05;1,05;1,59;1,59;2,84;2,84;7,09;7,09;4,58;4,58;10,48;10,7;10,81;0,010521296;0,010521296;36,62;41,55
12;9,13;9,13;0,002928704;0,002928704;11,91;11,91;1,07;1,07;1,63;1,63;2,96;2,96;7,25;7,25;4,76;4,76;10,92;11,13;11,44;0,010384144;0,010384144;36,35;40,7
13;8,9;8,9;0,002841898;0,002841898;11,48;11,48;1,09;1,09;1,67;1,67;3,08;3,08;7,42;7,42;4,94;4,94;11,36;11,55;12,07;0,010246875;0,010246875;36,08;39,86
14;8,67;8,67;0,002754977;0,002754977;11,05;11,05;1,11;1,11;1,71;1,71;3,2;3,2;7,58;7,58;5,12;5,12;11,8;11,97;12,7;0,010109722;0,010109722;35,81;39,01
15;8,44;8,44;0,002668171;0,002668171;10,63;10,63;1,14;1,14;1,75;1,75;3,32;3,32;7,75;7,75;5,31;5,31;12,24;12,4;13,33;0,009972454;0,009972454;35,54;38,17
16;8,38;8,38;0,002646528;0,002646528;10,53;10,53;1,15;1,15;1,77;1,77;3,36;3,36;7,84;7,84;5,41;5,41;12,57;12,8;13,76;0,009902315;0,009902315;35,37;37,32
17;8,33;8,33;0,002623611;0,002623611;10,43;10,43;1,16;1,16;1,79;1,79;3,41;3,41;7,93;7,93;5,52;5,52;12,91;13,21;14,2;0,009833218;0,009833218;35,21;36,48
18;8,28;8,28;0,002603356;0,002603356;10,33;10,33;1,17;1,17;1,82;1,82;3,46;3,46;8,02;8,02;5,63;5,63;13,24;13,61;14,64;0,009763542;0,009763542;35,05;35,63
