Points;50 m (i);60 m (i);100 m;200 m (i);200 m;300 m;400 m (i);400 m;800 m (i);800 m;1 500 m (i);1 500 m;3 000 m (i);3 000 m;50 m Haies (76) (i);60 m Haies (76 ) (i);100 m Haies (76);320 m Haies (76);400 m Haies (76);1 500 m Steeple (76);2 000 m Steeple (76);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (3 kg) (i);Poids (3 kg);Disque (1 kg);Marteau (3 kg);Javelot (500 g);3 000 Marche (i);3 000 Marche;4 × 100 m;4 × 100 m Mixte
50;6,38;7,41;11,38;23,35;23,35;38,19;53,54;53,54;0,001446759;0,001446759;0,002975;0,002975;0,006409375;0,006409375;7,16;8,1;12,98;44,5;58,41;0,003397801;0,004687037;1,87;1,87;4,13;4,13;6,57;6,57;13,42;13,42;17,84;17,84;53,74;68,22;59,07;0,009375;0,009375;47,63;44,31
49;6,43;7,47;11,5;23,6;23,6;38,58;54,78;54,78;0,001462963;0,001462963;0,003021181;0,003021181;0,006551157;0,006551157;7,26;8,18;13,18;45,16;59,98;0,003433565;0,004800579;1,85;1,85;4,04;4,04;6,44;6,44;13,26;13,26;17,13;17,13;51,07;66,23;55,87;0,009560185;0,009560185;47,85;44,46
48;6,49;7,53;11,62;23,84;23,84;38,97;56,02;56,02;0,001479167;0,001479167;0,003067361;0,003067361;0,006692824;0,006692824;7,36;8,25;13,37;45,82;61,55;0,003469213;0,00491412;1,83;1,83;3,96;3,96;6,3;6,3;13,09;13,09;16,42;16,42;48,4;64,23;52,66;0,00974537;0,00974537;48,06;44,61
47;6,54;7,59;11,74;24,09;24,09;39,37;57,26;57,26;0,00149537;0,00149537;0,003113657;0,003113657;0,006834606;0,006834606;7,45;8,33;13,57;46,47;63,11;0,003504977;0,005027546;1,8;1,8;3,87;3,87;6,17;6,17;12,93;12,93;15,72;15,72;45,74;62,24;49,46;0,009930556;0,009930556;48,28;44,76
46;6,6;7,65;11,86;24,33;24,33;39,76;58,5;58,5;0,001511574;0,001511574;0,003159838;0,003159838;0,006976273;0,006976273;7,55;8,4;13,76;47,13;64,68;0,003540625;0,005141088;1,78;1,78;3,79;3,79;6,03;6,03;12,76;12,76;15,01;15,01;43,07;60,24;46,25;0,010115741;0,010115741;48,5;44,91
45;6,65;7,71;11,98;24,58;24,58;40,15;59,74;59,74;0,001527778;0,001527778;0,003206019;0,003206019;0,007118056;0,007118056;7,65;8,48;13,96;47,79;66,25;0,003576389;0,00525463;1,76;1,76;3,7;3,7;5,9;5,9;12,6;12,6;14,3;14,3;40,4;58,25;43,05;0,010300926;0,010300926;48,72;45,06
44;6,69;7,76;12,07;24,77;24,77;40,43;60,03;60,03;0,001542593;0,001542593;0,003233796;0,003233796;0,007172222;0,007172222;7,7;8,55;14,11;48,13;66,53;0,003593519;0,005275463;1,74;1,74;3,65;3,65;5,83;5,83;12,48;12,48;14,05;14,05;39,57;57,07;42,21;0,010398611;0,010398611;48,94;45,21
43;6,73;7,81;12,16;24,95;24,95;40,7;60,32;60,32;0,001557407;0,001557407;0,003261574;0,003261574;0,007226389;0,007226389;7,75;8,62;14,25;48,46;66,82;0,003610648;0,005296296;1,73;1,73;3,6;3,6;5,77;5,77;12,35;12,35;13,8;13,8;38,74;55,9;41,37;0,010496296;0,010496296;49,16;45,36
42;6,77;7,86;12,25;25,14;25,14;40,98;60,61;60,61;0,001572222;0,001572222;0,003289352;0,003289352;0,007280556;0,007280556;7,81;8,68;14,4;48,8;67,1;0,003627778;0,00531713;1,71;1,71;3,54;3,54;5,7;5,7;12,23;12,23;13,55;13,55;37,91;54,72;40,53;0,010593981;0,010593981;49,38;45,51
41;6,81;7,92;12,35;25,33;25,33;41,25;60,9;60,9;0,001587037;0,001587037;0,00331713;0,00331713;0,007334722;0,007334722;7,86;8,75;14,55;49,13;67,38;0,003644907;0,005337963;1,7;1,7;3,49;3,49;5,64;5,64;12,1;12,1;13,31;13,31;37,08;53,55;39,69;0,010691667;0,010691667;49,59;45,66
