Points;50 m (i);60 m (i);100 m;200 m (i);200 m;300 m;400 m (i);400 m;800 m (i);800 m;1 500 m (i);1 500 m;3 000 m (i);3 000 m;50 m Haies (91) (i);60 m Haies (91) (i);110 m Haies (91);400 m Haies (84);1 500 m Steeple (84);2 000 m Steeple (84);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (5 kg) (i);Poids (5 kg);Disque (1.5 kg);Marteau (5 kg);Javelot (700 g);3 000 m Marche (i);3 000 m Marche;4 × 100 m;4 × 100 m Mixte
50;5,85;6,78;10,43;21,05;21,05;33,75;46,67;46,67;0,001258681;0,001258681;0,002590856;0,002590856;0,005681713;0,005681713;6,66;7,48;13,12;51,19;4,1;5,4413;2,2;2,2;5,4;5,4;7,83;7,83;16,34;16,34;19,85;19,85;60,27;81,84;79,65;0,009027778;0,009027778;42,45;44,31
49;5,89;6,82;10,48;21,2;21,2;34,01;47,25;47,25;0,001268519;0,001268519;0,002618981;0,002618981;0,005746759;0,005746759;6,7;7,58;13,28;51,27;4,124;5,493;2,17;2,17;5,24;5,24;7,71;7,71;16,1;16,1;19,4;19,4;58,2;78,17;76,39;0,009152778;0,009152778;42,61;44,46
48;5,93;6,86;10,54;21,35;21,35;34,27;47,84;47,84;0,001278356;0,001278356;0,002647106;0,002647106;0,005811806;0,005811806;6,74;7,68;13,44;51,35;4,148;5,5448;2,14;2,14;5,08;5,08;7,6;7,6;15,87;15,87;18,94;18,94;56,12;74,5;73,13;0,009277778;0,009277778;42,76;44,61
47;5,97;6,91;10,59;21,49;21,49;34,54;48,42;48,42;0,001288194;0,001288194;0,002675231;0,002675231;0,005876852;0,005876852;6,78;7,77;13,61;51,43;4,172;5,5965;2,12;2,12;4,92;4,92;7,48;7,48;15,63;15,63;18,49;18,49;54,05;70,84;69,87;0,009402778;0,009402778;42,92;44,76
46;6,01;6,95;10,65;21,64;21,64;34,8;49,01;49,01;0,001298032;0,001298032;0,002703356;0,002703356;0,005941898;0,005941898;6,82;7,87;13,77;51,51;4,196;6,0483;2,09;2,09;4,76;4,76;7,37;7,37;15,4;15,4;18,03;18,03;51,97;67,17;66,61;0,009527778;0,009527778;43,07;44,91
45;6,05;6,99;10,7;21,79;21,79;35,06;49,59;49,59;0,00130787;0,00130787;0,002731481;0,002731481;0,006006944;0,006006944;6,86;7,97;13,93;51,59;4,22;6,1;2,06;2,06;4,6;4,6;7,25;7,25;15,16;15,16;17,58;17,58;49,9;63,5;63,35;0,009652778;0,009652778;43,23;45,06
44;6,08;7,04;10,77;21,93;21,93;35,14;49,9;49,9;0,00131713;0,00131713;0,00275463;0,00275463;0,006047685;0,006047685;6,91;8,02;14,06;51,97;4,2348;6,1176;2,04;2,04;4,53;4,53;7,17;7,17;15,01;15,01;17,25;17,25;48,92;62,15;62,07;0,009797685;0,009797685;43,4;45,21
43;6,11;7,09;10,84;22,06;22,06;35,22;50,22;50,22;0,001326389;0,001326389;0,002777778;0,002777778;0,006088426;0,006088426;6,95;8,07;14,18;52,36;4,2496;6,1352;2,02;2,02;4,46;4,46;7,09;7,09;14,85;14,85;16,93;16,93;47,94;60,81;60,79;0,009942593;0,009942593;43,57;45,36
42;6,14;7,13;10,91;22,2;22,2;35,3;50,53;50,53;0,001335648;0,001335648;0,002800926;0,002800926;0,006129167;0,006129167;7;8,12;14,31;52,74;4,2644;6,1528;2;2;4,38;4,38;7,01;7,01;14,7;14,7;16,6;16,6;46,96;59,46;59,51;0,0100875;0,0100875;43,74;45,51
41;6,17;7,18;10,98;22,34;22,34;35,38;50,85;50,85;0,001344907;0,001344907;0,002824074;0,002824074;0,006169907;0,006169907;7,04;8,17;14,44;53,12;4,2792;6,1704;1,98;1,98;4,31;4,31;6,93;6,93;14,55;14,55;16,27;16,27;45,97;58,11;58,22;0,010232407;0,010232407;43,91;45,66
40;6,2;7,23;11,05;22,47;22,47;35,46;51,16;51,16;0,001354167;0,001354167;0,002847222;0,002847222;0,006210648;0,006210648;7,09;8,23;14,56;53,51;4,294;6,188;1,96;1,96;4,24;4,24;6,86;6,86;14,4;14,4;15,95;15,95;44,99;56,77;56,94;0,010377315;0,010377315;44,08;45,8
39;6,23;7,28;11,12;22,61;22,61;35,54;51,48;51,48;0,001363426;0,001363426;0,00287037;0,00287037;0,006251389;0,006251389;7,13;8,28;14,69;53,89;4,3088;6,2056;1,94;1,94;4,17;4,17;6,78;6,78;14,24;14,24;15,62;15,62;44,01;55,42;55,66;0,010522222;0,010522222;44,25;45,95
38;6,25;7,32;11,19;22,74;22,74;35,61;51,79;51,79;0,001372685;0,001372685;0,002893519;0,002893519;0,00629213;0,00629213;7,18;8,33;14,82;54,27;4,3236;6,2232;1,92;1,92;4,1;4,1;6,7;6,7;14,09;14,09;15,29;15,29;43,03;54,08;54,38;0,01066713;0,01066713;44,42;46,1
37;6,28;7,37;11,26;22,88;22,88;35,69;52,11;52,11;0,001381944;0,001381944;0,002916667;0,002916667;0,00633287;0,00633287;7,22;8,38;14,94;54,66;4,3384;6,2408;1,9;1,9;4,02;4,02;6,62;6,62;13,94;13,94;14,97;14,97;42,05;52,73;53,1;0,010812037;0,010812037;44,59;46,25
