Points;50 m;50 m (i);80 m (i);80 m;120 m;1 000 m (i);1 000 m;2 000 m;50 m Haies (84);50 m Haies (84) (i);80 m Haies (84);100 m Haies (84);200 m Haies (76);Hauteur (i);Hauteur;Perche (i);Perche;Longueur (i);Longueur;Triple Saut (i);Triple Saut;Poids (4 kg) (i);Poids (4 kg);Disque (1.25 kg);Marteau (4 kg);Javelot (600 g);3 000 m Marche (i);3 000 m Marche;4 × 60 m;4 × 60 m Mixte
50;5,93;5,93;8,84;8,84;13,04;0,001710995;0,001710995;0,003827083;6,9;6,9;11,12;12,7;24,45;2,1;2,1;4,9;4,9;7,34;7,34;15,74;15,74;19,03;19,03;56,2;72,4;70,74;0,008912269;0,008912269;26,53;27,84
49;5,97;5,97;8,89;8,89;13,1;0,001733333;0,001733333;0,00386169;6,94;6,94;11,25;12,82;24,88;2,05;2,05;4,74;4,74;7,22;7,22;15,31;15,31;18,31;18,31;53,68;68,03;67,13;0,009157292;0,009157292;26,76;28,03
48;6,02;6,02;8,95;8,95;13,17;0,001755671;0,001755671;0,003896296;6,99;6,99;11,38;12,95;25,31;2,01;2,01;4,59;4,59;7,1;7,1;14,88;14,88;17,6;17,6;51,16;63,66;63,53;0,009400231;0,009400231;26,99;28,23
47;6,07;6,07;9;9;13,24;0,001778009;0,001778009;0,003930787;7,03;7,03;11,51;13,07;25,74;1,97;1,97;4,43;4,43;6,99;6,99;14,45;14,45;16,88;16,88;48,64;59,29;59,92;0,009643171;0,009643171;27,22;28,42
46;6,12;6,12;9,06;9,06;13,31;0,001800347;0,001800347;0,003965394;7,08;7,08;11,64;13,2;26,17;1,93;1,93;4,28;4,28;6,87;6,87;14,02;14,02;16,17;16,17;46,12;54,92;56,32;0,009886111;0,009886111;27,45;28,62
45;6,17;6,17;9,12;9,12;13,38;0,001822685;0,001822685;0,003999537;7,13;7,13;11,77;13,33;26,6;1,89;1,89;4,13;4,13;6,76;6,76;13,59;13,59;15,46;15,46;43,6;50,55;52,72;0,010129051;0,010129051;27,69;28,82
44;6,23;6,23;9,22;9,22;13,51;0,001846644;0,001846644;0,004044329;7,22;7,22;11,87;13,5;26,86;1,86;1,86;4,02;4,02;6,62;6,62;13,38;13,38;15;15;42,19;48,94;50,92;0,010295486;0,010295486;27,81;28,94
43;6,29;6,29;9,32;9,32;13,64;0,001870602;0,001870602;0,004088773;7,31;7,31;11,97;13,67;27,13;1,83;1,83;3,92;3,92;6,48;6,48;13,18;13,18;14,54;14,54;40,78;47,33;49,12;0,010461921;0,010461921;27,93;29,07
42;6,35;6,35;9,42;9,42;13,78;0,00189456;0,00189456;0,004140162;7,4;7,4;12,07;13,85;27,4;1,81;1,81;3,82;3,82;6,35;6,35;12,98;12,98;14,08;14,08;39,38;45,72;47,32;0,010628356;0,010628356;28,06;29,2
41;6,42;6,42;9,53;9,53;13,91;0,001918519;0,001918519;0,004177546;7,49;7,49;12,17;14,02;27,66;1,78;1,78;3,72;3,72;6,21;6,21;12,77;12,77;13,62;13,62;37,97;44,11;45,52;0,010794907;0,010794907;28,18;29,33
40;6,48;6,48;9,63;9,63;14,05;0,001942477;0,001942477;0,004221875;7,58;7,58;12,28;14,2;27,93;1,75;1,75;3,62;3,62;6,07;6,07;12,57;12,57;13,16;13,16;36,57;42,5;43,73;0,010961343;0,010961343;28,31;29,46
39;6,54;6,54;9,73;9,73;14,18;0,001967477;0,001967477;0,004266319;7,67;7,67;12,38;14,37;28,2;1,73;1,73;3,52;3,52;5,94;5,94;12,37;12,37;12,7;12,7;35,16;40,89;41,93;0,011127778;0,011127778;28,43;29,59
38;6,6;6,6;9,83;9,83;14,31;0,001990394;0,001990394;0,004310648;7,76;7,76;12,48;14,54;28,47;1,7;1,7;3,42;3,42;5,8;5,8;12,17;12,17;12,24;12,24;33,76;39,28;40,13;0,011294213;0,011294213;28,56;29,72
37;6,67;6,67;9,94;9,94;14,45;0,002014352;0,002014352;0,004355093;7,85;7,85;12,58;14,72;28,73;1,67;1,67;3,31;3,31;5,66;5,66;11,96;11,96;11,78;11,78;32,35;37,67;38,33;0,011458565;0,011458565;28,68;29,85
36;6,73;6,73;10,04;10,04;14,58;0,00203831;0,00203831;0,004399421;7,94;7,94;12,68;14,89;29;1,65;1,65;3,21;3,21;5,53;5,53;11,76;11,76;11,32;11,32;30,95;36,06;36,53;0,011627083;0,011627083;28,81;29,98
35;6,79;6,79;10,14;10,14;14,72;0,002062269;0,002062269;0,004443866;8,03;8,03;12,79;15,07;29,27;1,62;1,62;3,11;3,11;5,39;5,39;11,56;11,56;10,86;10,86;29,54;34,45;34,74;0,011793519;0,011793519;28,93;30,11
34;6,85;6,85;10,24;10,24;14,85;0,002086227;0,002086227;0,004488194;8,12;8,12;12,89;15,24;29,54;1,59;1,59;3,01;3,01;5,25;5,25;11,36;11,36;10,4;10,4;28,14;32,84;32,94;0,011959954;0,011959954;29,06;30,24
33;6,92;6,92;10,35;10,35;14,98;0,002110185;0,002110185;0,004532639;8,21;8,21;12,99;15,41;29,8;1,57;1,57;2,91;2,91;5,12;5,12;11,15;11,15;9,94;9,94;26,73;31,23;31,14;0,012126505;0,012126505;29,18;30,37
32;6,98;6,98;10,45;10,45;15,12;0,002134144;0,002134144;0,004576968;8,3;8,3;13,09;15,59;30,07;1,54;1,54;2,81;2,81;4,98;4,98;10,95;10,95;9,48;9,48;25,33;29,62;29,34;0,01229294;0,01229294;29,31;30,5
31;7,04;7,04;10,55;10,55;15,25;0,002158102;0,002158102;0,004621412;8,39;8,39;13,19;15,76;30,34;1,51;1,51;2,71;2,71;4,84;4,84;10,75;10,75;9,02;9,02;23,92;28,01;27,54;0,012459375;0,012459375;29,43;30,63
30;7,11;7,11;10,66;10,66;15,39;0,00218206;0,00218206;0,004665741;8,48;8,48;13,3;15,94;30,61;1,49;1,49;2,61;2,61;4,71;4,71;10,55;10,55;8,56;8,56;22,52;26,41;25,75;0,01262581;0,01262581;29,56;30,76
29;7,13;7,13;10,69;10,69;15,44;0,002191435;0,002191435;0,004687269;8,53;8,53;13,35;16,05;30,72;1,48;1,48;2,58;2,58;4,67;4,67;10,49;10,49;8,47;8,47;22,23;25,94;25,4;0,012716204;0,012716204;29,62;30,84
28;7,15;7,15;10,73;10,73;15,49;0,002200694;0,002200694;0,004708912;8,58;8,58;13,41;16,17;30,83;1,47;1,47;2,55;2,55;4,64;4,64;10,43;10,43;8,38;8,38;21,95;25,48;25,06;0,012806481;0,012806481;29,68;30,93
27;7,18;7,18;10,77;10,77;15,54;0,002210069;0,002210069;0,00473044;8,63;8,63;13,47;16,29;30,94;1,46;1,46;2,52;2,52;4,61;4,61;10,37;10,37;8,3;8,3;21,67;25,01;24,72;0,012896875;0,012896875;29,75;31,02
26;7,2;7,2;10,81;10,81;15,59;0,002219329;0,002219329;0,004751968;8,69;8,69;13,53;16,41;31,05;1,45;1,45;2,49;2,49;4,58;4,58;10,31;10,31;8,21;8,21;21,39;24,55;24,38;0,012987153;0,012987153;29,81;31,1
25;7,23;7,23;10,85;10,85;15,65;0,002228704;0,002228704;0,004773611;8,74;8,74;13,59;16,53;31,17;-;-;2,47;2,47;4,55;4,55;10,25;10,25;8,13;8,13;21,11;24,09;24,04;0,013078588;0,013078588;29,88;31,19
24;7,25;7,25;10,88;10,88;15,7;0,002238079;0,002238079;0,004796644;8,79;8,79;13,65;16,65;31,28;1,44;1,44;2,44;2,44;4,51;4,51;10,19;10,19;8,04;8,04;20,82;23,62;23,69;0,013168634;0,013168634;29,94;31,28
23;7,27;7,27;10,92;10,92;15,75;0,002247338;0,002247338;0,004816667;8,85;8,85;13,71;16,77;31,39;1,43;1,43;2,41;2,41;4,48;4,48;10,13;10,13;7,95;7,95;20,54;23,16;23,35;0,013258218;0,013258218;30;31,36
22;7,3;7,3;10,96;10,96;15,8;0,002256713;0,002256713;0,004838194;8,9;8,9;13,77;16,89;31,5;1,42;1,42;2,38;2,38;4,45;4,45;10,07;10,07;7,87;7,87;20,26;22,69;23,01;0,013348495;0,013348495;30,07;31,45
21;7,32;7,32;11;11;15,85;0,002265972;0,002265972;0,004859838;8,95;8,95;13,83;17,01;31,61;1,41;1,41;2,35;2,35;4,42;4,42;10,01;10,01;7,78;7,78;19,98;22,23;22,67;0,013438889;0,013438889;30,13;31,54
20;7,35;7,35;11,04;11,04;15,91;0,002275347;0,002275347;0,004881366;9,01;9,01;13,89;17,13;31,73;-;-;2,33;2,33;4,39;4,39;9,96;9,96;7,7;7,7;19,7;21,77;22,33;0,013529167;0,013529167;30,2;31,63
19;7,4;7,4;11,13;11,13;16,03;0,002295023;0,002295023;0,004925579;9,12;9,12;14,04;17,39;31,97;1,39;1,39;2,27;2,27;4,32;4,32;9,84;9,84;7,53;7,53;19,2;21,05;21,72;0,013687153;0,013687153;30,4;31,82
18;7,45;7,45;11,22;11,22;16,15;0,002314815;0,002314815;0,004969792;9,23;9,23;14,2;17,66;32,21;1,38;1,38;2,22;2,22;4,26;4,26;9,73;9,73;7,36;7,36;18,71;20,33;21,11;0,013845139;0,013845139;30,6;32,01
17;7,5;7,5;11,31;11,31;16,27;0,002328356;0,002328356;0,00501412;9,34;9,34;14,36;17,92;32,46;1,37;1,37;2,16;2,16;4,2;4,2;9,61;9,61;7,2;7,2;18,22;19,61;20,5;0,014003009;0,014003009;30,8;32,2
16;7,55;7,55;11,4;11,4;16,39;0,002354282;0,002354282;0,005058333;9,45;9,45;14,52;18,19;32,7;1,36;1,36;2,11;2,11;4,14;4,14;9,5;9,5;7,03;7,03;17,73;18,89;19,89;0,014160995;0,014160995;31;32,39
15;7,61;7,61;11,49;11,49;16,52;0,002373958;0,002373958;0,005102546;9,57;9,57;14,68;18,46;32,95;1,35;1,35;2,06;2,06;4,08;4,08;9,39;9,39;6,87;6,87;17,24;18,18;19,28;0,014318981;0,014318981;31,21;32,58
14;7,78;7,78;11,74;11,74;16,85;0,002448264;0,002448264;0,005183912;9,83;9,83;14,96;18,94;33,48;1,32;1,32;2,01;2,01;3,93;3,93;9,2;9,2;6,61;6,61;16,59;17,59;18,42;0,014501389;0,014501389;31,44;32,86
13;7,95;7,95;12;12;17,18;0,002522454;0,002522454;0,005265278;10,09;10,09;15,24;19,42;34,01;1,3;1,3;1,96;1,96;3,79;3,79;9,01;9,01;6,36;6,36;15,94;17,01;17,57;0,014683796;0,014683796;31,67;33,15
12;8,13;8,13;12,26;12,26;17,52;0,002596759;0,002596759;0,005346528;10,35;10,35;15,52;19,91;34,55;1,27;1,27;1,91;1,91;3,64;3,64;8,83;8,83;6,11;6,11;15,29;16,43;16,72;0,014866204;0,014866204;31,9;33,43
11;8,3;8,3;12,52;12,52;17,85;0,002670949;0,002670949;0,005427894;10,61;10,61;15,8;20,39;35,08;1,25;1,25;1,86;1,86;3,5;3,5;8,64;8,64;5,86;5,86;14,64;15,85;15,87;0,015048495;0,015048495;32,13;33,72
10;8,47;8,47;12,77;12,77;18,18;0,002745255;0,002745255;0,005515741;10,88;10,88;16,08;20,88;35,62;1,22;1,22;1,81;1,81;3,36;3,36;8,45;8,45;5,61;5,61;13,99;15,27;15,01;0,015230903;0,015230903;32,37;34,01
9;8,65;8,65;13,03;13,03;18,52;0,002816667;0,002816667;0,005590625;11,14;11,14;16,36;21,36;36,15;1,2;1,2;1,76;1,76;3,21;3,21;8,27;8,27;5,36;5,36;13,34;14,69;14,16;0,01541331;0,01541331;32,6;34,29
8;8,82;8,82;13,29;13,29;18,85;0,00289375;0,00289375;0,005671991;11,4;11,4;16,64;21,85;36,69;1,18;1,18;1,71;1,71;3,07;3,07;8,08;8,08;5,11;5,11;12,69;14,11;13,31;0,015595718;0,015595718;32,83;34,58
7;8,99;8,99;13,55;13,55;19,18;0,002968056;0,002968056;0,005753241;11,66;11,66;16,92;22,33;37,22;1,15;1,15;1,66;1,66;2,93;2,93;7,89;7,89;4,85;4,85;12,04;13,52;12,46;0,015778125;0,015778125;33,06;34,87
6;9,17;9,17;13,81;13,81;19,52;0,003042245;0,003042245;0,005834606;11,92;11,92;17,2;22,81;37,75;1,13;1,13;1,61;1,61;2,78;2,78;7,71;7,71;4,6;4,6;11,39;12,94;11,61;0,015960532;0,015960532;33,29;35,15
5;9,34;9,34;14,06;14,06;19,85;0,003116551;0,003116551;0,005915972;12,19;12,19;17,48;23,3;38,29;1,1;1,1;1,56;1,56;2,64;2,64;7,52;7,52;4,35;4,35;10,74;12,36;10,75;0,01614294;0,01614294;33,53;35,44
4;9,51;9,51;14,32;14,32;20,18;0,003190741;0,003190741;0,005997338;12,45;12,45;17,76;23,78;38,82;1,08;1,08;1,51;1,51;2,5;2,5;7,33;7,33;4,1;4,1;10,09;11,78;9,9;0,016320023;0,016320023;33,76;35,73
3;9,69;9,69;14,58;14,58;20,52;0,003266319;0,003266319;0,006078588;12,71;12,71;18,04;24,27;39,36;1,05;1,05;1,46;1,46;2,35;2,35;7,15;7,15;3,85;3,85;9,44;11,2;9,05;0,016507639;0,016507639;33,99;36,01
2;9,86;9,86;14,84;14,84;20,85;0,003339236;0,003339236;0,006159954;12,97;12,97;18,32;24,75;39,89;1,03;1,03;1,41;1,41;2,21;2,21;6,96;6,96;3,6;3,6;8,79;10,62;8,2;0,016690046;0,016690046;34,22;36,3
